2142,7,9,15,24,59,84,105,110,111,112,123,130,134,138,141,162,168,179,212,249,251,278,280,287,309,330,331,335,352,358,362,379,387,392,399,403,413,422,424,429,433,434,438,443,447,456,457,461,466,469,489,495,508,512,515,519,529,532,536,540,562,569,577,598,605,607,608,614,623,632,636,638,649,660,664,667,676,678,685,688,695,702,709,716,721,727,736,747,764,775,792,794,796,813,821,823,827,829,839,841,846,849,862,869,879,881,890,918,930,940,942,945,958,1016,1031,1057,1058,1068,1075,1078,1091,1093,1104,1106,1112,1156,1157,1164,1190,1192,1204,1222,1223,1224,1236,1246,1247,1251,1259,1266,1271,1296,1298,1313,1324,1326,1341,1342,1343,1367,1395,1402,1415,1417,1443,1445,1465,1470,1482,1505,1506,1514,1516,1544,1547,1552,1569,1582,1586,1598,1614,1619,1620,1631,1641,1656,1669,1708,1717,1730,1732,1752,1753,1771,1772,1791,1801,1814,1816,1819,1828,1829,1833,1837,1840,1854,1859,1863,1900,1907,1911,1927,1941,1968,1976,1996,2001,2033,2042,2050,2060,2075,2076,2083,2087,2093,2099,2101,2105,2109,2135,2137
561,2,6,42,3,2,9,6,1,18,1,6,1,7,9,42,21,3,2,1,6,2,1,1,2,126,21,2,2,1,7,1,14,6,1,18,2,2,1,1,6,2,1,3,2,6,21,2,2,1,2,18,6,1,7,2,42,2,1,1,21,1,2,2,1,2,2,1,1,2,1,3,7,2,9,1,2,1,9,2,1,2,3,2,1,2,2,7,6,7,2,21,1,1,126,2,2,14,2,2,14,3,18,7,14,6,2,7,357,9,1,3,6,1,7,2,2,7,3,2,1,2,14,3,1,1,119,2,9,17,1,1,1,2,51,9,1,14,6,2,3,2,21,1,2,7,153,6,1,34,2,6,1,14,2,126,34,2,9,3,2,63,1,1,1,34,1,126,1,1,17,9,2,3,2,18,3,2,1,34,7,1,3,2,2,7,6,2,7,1,34,7,2,6,2,1,3,2,42,1,2,18,2,6,21,1,7,18,2,1,1,1,2,3,2,14,2,2,14,2,18,2,2
568,51,1,7,34,1,2,1,2,1,6,1,6,14,2,7,14,2,1,2,1,1,2,18,1,7,238,3,1,18,42,2,63,1,2,1,3,1,2,18,1,9,2,2,1,1,14,3,1,102,9,1,1,6,14,1,7,3,18,2,14,6,1,9,6,1,3,2,2,1,2,34,14,9,2,6,9,18,2,9,6,1,2,3,2,153,3,42,1,14,9,14,2,6,7,1,51,7,9,1,21,2,1,42,7,1,1,14,14,2,6,34,1,6,14,1,3,14,2,3,102,1,21,2,2,34,42,1,2,2,6,6,6,1,2,2,6,7,1,1,2,1,14,2,1,126,2,1,18,1,17,1,6,7,3,7,1,3,2,2,1,14,2,6,2,1,6,7,6,2,2,2,1,2,1,1,34,3,6,3,14,6,2,3,3,14,1,9,14,6,9,126,1,1,9,6,2,1,7,18,1,17,9,1,14,2,714,1,1,2,6,2,1,2,3,7,1,1,21,1,1,1,3
576,1,63,51,6,1,6,3,2,3,2,3,2,34,6,3,18,102,1,14,3,1,2,2,17,3,6,7,1,14,2,2,1,63,2,3,1,1,14,2,21,1,2,6,7,3,6,119,1,2,1,3,9,34,2,1,3,1,2,2,18,14,7,1,2,1,1,2,2,1,14,6,2,1,42,2,7,2,102,1,14,119,126,7,14,1,1,2,9,2,1,18,2,2,3,7,1,1,1,1,1,18,21,2,1,3,1,2,18,6,14,6,9,2,2,7,1,2,6,1,2,1,1,6,2,2,2,7,42,2,14,2,34,1,18,6,2,1,9,1,6,1,18,2,1,34,6,153,2,1,7,63,14,1,1,51,1,7,6,6,1,6,14,2,2,1,2,3,2,2,14,6,7,18,1,3,18,1,2,7,2,34,42,1,1,2,9,7,2,2,1,2,7,3,1,2,18,1,9,2,1,3,7,21,6,14,2,3,1,2,2,14,1,6,1,1,1,1,1,1,21,1,7
606,1,3,3,6,1,18,3,2,9,2,21,238,2,18,3,6,6,7,2,357,1,2,2,1,9,6,1,1,2,2,2,1,3,2,9,7,1,2,14,3,1,2,42,1,3,6,1,1,14,1,9,3,14,2,7,3,7,2,14,6,2,1,1,2,1,1,2,2,17,2,6,2,1,18,2,1,14,18,1,2,1,6,1,2,1,1,2,3,2,1,6,2,2,9,1,7,17,1,1,1,6,9,2,1,21,1,2,6,18,2,42,3,2,2,17,1,2,42,7,2,1,1,6,2,2,2,1,18,2,2,2,14,1,6,126,2,1,3,1,6,7,6,2,7,2,18,21,2,1,1,3,2,1,1,9,1,1,18,6,1,18,2,14,14,1,2,9,2,14,2,126,1,6,1,9,42,1,2,1,2,2,6,1,1,2,3,1,2,2,1,2,1,3,1,2,6,7,3,2,1,9,1,3,6,2,2,9,1,2,2,2,1,42,7,1,1,1,1,1,9,1,1
613,6,2,2,1,2,1,2,1,2,3,14,21,1,1,2,1,1,14,1,14,2,1,9,2,2,1,6,2,9,51,1,18,2,17,2,42,2,1,63,2,18,1,7,34,2,1,6,2,21,18,2,2,21,1,14,2,42,9,7,1,51,2,18,3,2,6,1,1,2,1,1,1,18,1,51,18,63,1,18,3,2,1,6,1,18,6,3,2,1,18,1,1,3,2,2,42,2,18,2,6,1,2,3,2,14,2,1,1,1,3,7,2,3,1,2,6,1,7,42,3,2,6,1,17,1,3,34,1,1,3,3,21,2,1,7,3,2,2,34,1,14,1,1,14,9,1,14,9,2,2,34,3,2,6,2,2,6,1,1,2,1,17,21,7,2,3,2,51,7,1,7,2,1,2,2,7,6,3,6,1,3,17,6,6,1,2,18,1,3,18,9,2,2,306,3,17,14,2,9,2,2,18,2,1,1,3,2,2,1,3,1,34,7,42,2,2,2,6,2,34,2,6
627,2,6,306,9,2,3,18,1,6,1,126,7,17,3,18,3,153,14,1,126,2,1,1,34,6,9,2,2,1,1,1,2,6,1,6,14,2,1,7,18,2,1,63,2,18,9,34,2,7,2,6,6,119,1,14,18,14,1,7,3,1,2,2,1,2,2,1,1,2,1,9,1,2,3,1,2,7,51,2,1,34,3,2,1,2,2,1,6,1,2,3,1,1,6,2,14,2,2,2,2,3,6,1,2,126,2,1,3,3,1,63,6,1,1,2,2,1,63,14,1,2,2,9,1,1,1,2,3,1,1,1,119,2,3,21,1,2,6,2,9,14,3,1,14,17,3,714,1,2,2,6,1,2,2,102,2,2,3,9,2,3,1,7,7,2,1,6,1,7,1,21,2,3,2,6,21,2,1,2,1,17,9,2,2,1,6,2,1,1,2,1,2,18,2,1,3,14,6,1,2,6,2,18,9,1,1,6,2,1,1,1,2,63,14,2,2,2,2,2,6,2,2
642,1,3,3,6,1,18,3,14,9,2,3,2,2,126,3,6,6,1,2,3,17,14,2,1,9,6,1,1,2,2,14,1,51,2,9,1,1,2,2,3,1,2,102,1,3,6,1,1,2,1,153,21,2,2,1,3,1,2,2,102,2,1,1,2,1,7,34,14,1,2,6,2,7,18,2,1,34,18,1,2,1,6,1,2,1,17,2,21,2,7,6,2,14,9,1,1,1,17,1,1,102,9,2,1,3,1,2,6,18,2,6,3,2,34,1,1,2,6,1,2,1,1,42,2,2,2,1,18,2,2,2,2,7,6,18,2,1,21,1,6,17,6,2,1,2,18,3,14,1,1,3,2,1,1,9,1,1,18,42,1,18,2,2,2,1,14,9,2,2,2,18,1,6,1,9,6,1,2,1,34,2,6,1,1,2,3,1,2,2,1,2,1,3,1,2,6,1,3,34,1,9,1,3,102,2,2,9,1,14,2,2,1,6,1,17,1,1,1,7,9,1,1
651,14,6,6,3,2,63,42,1,18,7,6,1,1,9,102,3,21,2,1,6,2,1,7,14,18,3,2,2,1,1,17,34,6,7,126,2,238,1,1,6,2,7,3,2,102,3,2,2,1,14,18,6,1,1,34,6,2,119,1,3,1,2,2,1,2,2,1,1,14,1,3,1,2,9,1,2,1,9,34,1,2,51,2,1,14,2,17,6,1,2,3,1,1,18,34,2,2,2,2,2,3,18,1,2,6,2,1,3,9,17,3,42,1,1,2,14,1,3,2,7,2,34,3,7,1,1,2,9,7,1,7,1,2,3,9,119,2,6,2,3,2,3,1,2,1,9,6,1,2,2,6,1,2,2,18,2,2,63,3,14,9,1,1,1,14,17,306,7,17,1,9,2,51,14,18,3,2,7,2,1,1,3,2,14,1,6,2,1,1,2,1,2,6,2,1,3,2,6,1,2,126,2,6,3,1,1,18,2,1,1,1,2,3,2,2,14,2,2,2,18,14,2
666,1,9,21,6,1,6,51,2,3,2,3,2,14,6,21,126,6,1,2,3,1,2,2,1,357,42,1,1,2,14,2,7,9,2,3,1,1,2,2,3,1,2,6,1,3,42,1,1,2,1,3,9,2,14,1,21,1,2,2,126,2,1,1,34,1,1,2,2,1,34,6,14,17,6,2,1,2,6,1,2,1,18,1,2,1,1,14,9,14,1,126,2,2,21,1,1,7,1,1,7,18,3,14,7,3,1,14,126,6,2,6,9,2,14,1,17,14,6,1,2,17,7,6,2,2,14,1,6,2,2,2,2,1,18,6,2,7,9,1,6,1,126,2,1,14,6,9,2,1,1,9,2,7,1,21,1,17,6,102,1,42,2,34,2,1,2,21,2,2,2,6,1,18,1,3,18,17,2,1,14,2,6,1,17,14,9,1,14,2,1,14,1,3,1,2,18,1,63,2,17,3,1,51,42,2,14,3,1,2,2,34,1,6,1,7,1,1,7,1,3,1,1
672,7,51,9,18,1,42,63,2,51,14,9,2,2,6,9,102,126,17,2,9,1,2,14,7,3,18,1,1,2,2,2,1,3,14,21,1,7,2,2,9,1,238,18,1,9,18,1,1,2,7,3,3,2,2,1,153,1,14,34,6,2,1,1,2,1,1,2,2,7,2,18,34,1,6,2,1,2,6,1,2,1,6,1,2,7,1,2,3,2,1,6,2,2,3,1,1,1,1,1,1,6,3,2,1,9,1,2,6,6,2,18,21,2,2,1,7,2,18,1,14,1,1,18,14,2,2,1,6,14,2,14,2,1,6,6,14,1,3,1,18,1,6,2,1,2,6,3,2,1,1,3,2,1,1,3,1,1,42,18,119,6,2,2,2,7,2,3,14,2,2,6,1,6,7,51,6,1,14,1,2,2,18,1,7,2,3,1,2,2,1,34,1,9,1,2,6,1,3,2,1,21,1,9,18,2,2,3,1,2,2,2,1,18,17,1,7,1,1,1,3,7,1
682,9,1,1,14,7,2,1,2,1,6,1,6,2,34,1,2,2,1,2,1,1,2,6,1,1,2,9,1,6,18,2,3,1,2,1,9,1,2,6,1,3,2,2,1,1,2,9,17,18,3,1,17,6,34,1,1,153,6,2,2,6,1,21,42,7,3,2,34,1,2,2,2,3,2,18,3,6,2,3,6,1,2,9,34,3,9,18,1,2,3,2,14,6,1,1,3,1,21,1,3,2,1,18,17,1,1,2,2,2,6,2,1,6,2,1,3,2,2,3,18,1,3,2,2,2,6,1,2,2,102,18,18,1,2,2,6,1,1,1,2,1,2,14,1,6,14,1,6,1,1,1,18,1,21,1,7,9,2,2,1,2,2,6,2,1,6,1,18,2,2,2,1,14,1,7,2,21,18,9,2,42,2,1071,9,2,1,3,2,126,3,6,1,1,21,6,2,1,1,42,7,1,3,1,2,2,18,1,7,34,18,2,7,34,3,1,17,1,3,1,1,1,3
692,1,1,1,2,3,2,1,6,7,2,1,2,18,2,1,2,2,9,6,1,63,18,2,9,1,2,1,357,34,2,6,1,1,6,1,17,9,18,2,1,7,6,2,3,7,2,1,21,2,1,7,1,2,18,3,1,1,2,6,2,2,3,1,2,3,17,42,6,3,6,14,18,1,2,14,1,2,14,7,2,3,2,17,6,1,7,2,1,18,1,2,102,2,1,3,1,9,1,21,1,14,1,34,3,17,63,18,2,238,2,2,1,14,18,3,1,6,2,1,2,21,1,2,18,42,2,3,2,6,2,2,2,9,14,34,2,3,1,63,14,3,2,6,9,2,2,1,2,21,9,1,2,3,1,1,3,1,2,2,3,2,6,2,6,9,2,1,2,6,6,2,9,2,3,1,2,1,2,1,6,2,2,1,1,18,7,1,102,2,7,2,3,7,1,14,14,3,1,2,9,1,1,1,2,6,2,119,9,18,14,18,3,2,1,9,3,21,1,9,1,3,17
701,2,2,14,1,6,1,2,3,2,1,34,1,63,1,14,7,1,18,3,2,18,9,1,18,14,7,2,6,1,7,3,14,2,3,2,2,18,9,1,34,2,3,1,6,2,7,2,6,1,2,2,2,1,63,6,14,2,1,3,7,1,6,2,1,6,2,3,3,6,3,1,63,2,1,1,34,1,1,2,1,6,1,2,3,2,2,7,2,63,2,7,3,1,14,6,2,126,2,6,14,1,2,7,42,2,18,63,7,1,1,1,2,1,63,6,2,357,1,34,1,6,14,1,9,3,7,6,1,3,1,1,1,18,1,1,1,42,2,18,1,6,119,3,306,7,1,2,1,6,18,2,1,714,2,14,6,2,1,1,6,7,3,1,3,18,1,14,1,3,3,1,306,1,6,2,1,2,1,2,21,1,1,2,2,1071,2,2,21,1,2,7,6,2,2,17,1,6,14,1,18,2,2,2,7,51,7,2,18,9,1,9,6,1,2,126,6,6,14,18,2,6,2
726,1,3,9,18,1,6,9,14,3,2,9,2,2,42,9,6,18,1,2,9,1,14,2,1,3,18,1,17,34,2,14,1,3,2,3,17,1,2,2,9,1,2,18,1,9,18,1,1,2,1,3,21,2,2,1,9,1,2,2,6,2,1,1,2,1,119,2,14,1,2,18,2,7,6,2,1,2,6,1,2,1,6,17,2,1,1,2,21,2,7,6,34,14,3,1,1,1,1,1,1,6,3,34,1,153,1,2,6,102,2,18,3,2,2,1,1,2,18,1,2,1,1,126,2,2,2,1,6,2,2,2,2,7,6,102,2,1,21,1,18,1,6,2,1,2,6,3,14,1,1,3,2,1,1,3,1,1,6,126,1,6,2,2,2,1,14,3,2,2,2,6,1,6,1,3,6,1,2,1,2,2,18,1,1,2,3,1,34,2,1,2,1,9,1,2,6,1,3,2,1,3,1,9,18,2,2,51,1,14,2,2,1,18,1,1,1,1,1,7,3,1,17
744,1,21,9,18,1,6,9,2,3,2,9,2,2,6,9,6,18,1,14,9,17,2,2,1,3,18,7,1,14,2,2,1,357,2,3,1,1,14,2,63,1,2,306,7,9,18,7,1,2,1,51,3,2,2,1,9,1,2,2,102,14,7,1,2,1,1,34,2,1,14,18,2,1,42,2,7,34,6,1,14,7,42,7,14,1,17,2,3,2,1,6,2,2,3,7,1,1,17,1,1,102,21,2,1,9,1,2,6,6,14,18,3,2,34,7,1,2,18,1,2,1,1,18,2,2,2,7,42,2,14,2,2,1,6,6,2,1,3,1,18,17,6,2,1,2,6,3,2,1,7,21,14,1,1,3,1,7,6,18,1,6,14,2,2,1,2,3,2,2,14,6,7,6,1,3,6,1,2,7,34,2,126,1,1,2,3,7,2,2,1,2,7,9,1,2,6,1,3,34,1,3,7,63,306,14,2,3,1,2,2,14,1,18,1,17,1,1,1,1,21,1,7
772,153,7,1,34,1,2,1,2,1,6,1,6,2,2,1,2,2,1,14,1,1,2,6,1,1,34,63,1,42,18,2,3,7,2,1,9,1,14,6,7,3,2,2,7,1,2,63,1,306,3,1,1,6,2,1,1,9,6,2,2,42,7,3,6,1,3,2,2,1,14,34,2,3,14,18,21,6,2,3,42,7,14,63,14,51,9,18,1,2,3,2,2,6,1,7,51,1,3,1,3,2,7,18,1,1,1,2,2,2,42,34,1,6,2,7,3,2,2,3,306,1,3,2,2,34,6,7,14,2,42,18,18,1,2,2,6,1,1,1,2,1,2,2,1,6,2,1,6,1,119,7,126,1,3,1,1,63,2,2,1,2,14,6,2,1,6,1,18,2,14,2,7,2,1,1,34,3,18,63,2,6,14,9,9,2,1,21,2,18,3,6,7,1,3,6,2,1,1,6,1,17,21,7,2,14,306,1,1,2,18,14,1,2,3,1,1,1,3,1,7,1,21
774,1,153,3,6,1,6,3,2,51,2,21,14,2,6,3,306,6,119,2,21,1,2,2,1,3,6,1,1,2,2,2,1,9,2,3,7,1,2,14,3,1,34,42,1,3,6,1,1,14,1,3,9,14,2,7,51,7,2,238,18,2,1,1,2,1,1,2,2,1,2,6,34,1,6,2,1,14,6,1,2,1,18,1,2,1,1,2,9,2,1,18,2,2,3,1,7,1,1,1,1,18,3,2,1,21,1,2,18,6,2,42,9,2,2,1,1,2,42,7,2,1,1,6,2,2,2,1,6,2,2,2,14,1,18,42,2,1,9,1,6,7,18,2,7,2,6,63,2,1,1,9,2,1,1,3,1,1,6,6,17,6,2,14,14,1,2,3,2,14,2,42,1,18,1,51,126,1,2,1,2,2,6,1,1,2,9,1,2,2,1,34,1,3,1,2,18,7,9,2,1,3,1,3,6,2,2,3,1,2,2,2,1,42,119,1,1,1,1,1,3,1,1
791,14,34,2,1,6,7,14,3,34,7,2,1,9,1,2,17,7,306,3,2,18,9,7,126,2,1,2,6,1,1,3,2,2,21,14,2,126,9,1,2,2,357,1,6,2,1,2,6,1,14,2,2,1,9,6,34,2,7,51,1,1,6,2,1,6,2,3,3,42,3,1,153,2,1,1,2,1,1,2,1,6,1,2,3,14,2,1,2,9,2,1,3,1,2,6,2,18,2,6,2,1,2,1,6,2,18,9,1,1,1,1,14,1,9,6,14,3,1,2,7,6,2,1,63,3,1,6,1,21,1,7,1,18,1,1,7,6,2,18,1,6,1,3,18,1,1,2,1,6,18,2,1,6,2,2,6,2,7,1,714,1,3,1,3,126,1,2,7,3,3,1,18,1,42,34,1,2,7,2,3,1,1,2,14,9,2,2,3,1,2,17,6,2,2,1,1,6,2,1,18,14,2,2,1,3,1,2,18,9,1,9,6,1,34,18,42,6,2,18,2,42,2
800,1,7,1,2,3,2,1,6,1,2,1,2,18,2,1,2,2,9,42,1,9,18,2,9,1,2,7,3,14,34,6,1,7,102,1,1,9,126,2,7,1,6,2,357,1,2,7,3,2,1,1,1,2,18,3,1,1,2,6,2,238,21,1,2,3,1,6,6,3,42,2,18,1,14,34,7,2,2,1,14,21,14,7,42,1,1,2,1,18,1,2,6,2,1,21,1,9,1,3,1,2,7,2,3,1,9,18,2,2,14,2,1,2,18,21,1,6,2,1,2,3,1,2,306,6,2,357,14,6,14,2,2,9,2,2,2,3,1,153,2,3,2,6,9,2,2,1,2,3,63,119,14,3,1,1,3,7,2,2,3,2,714,2,6,9,2,1,34,6,42,2,63,2,3,1,2,1,2,7,6,2,238,1,1,18,1,7,6,2,1,2,21,1,17,2,34,3,1,2,9,1,7,7,2,42,2,1,9,18,2,126,51,2,1,9,3,3,1,9,119,3,7
805,42,2,2,1,2,7,14,1,2,63,2,9,1,1,2,1,7,2,1,2,2,17,21,14,2,1,6,2,3,3,1,6,2,7,14,6,14,1,3,2,6,7,1,2,2,1,6,2,3,42,2,2,9,1,2,2,6,21,1,1,9,2,6,9,2,18,1,1,14,1,1,1,6,1,3,6,3,1,6,9,2,1,6,1,42,6,3,2,1,6,1,1,9,2,2,18,2,6,34,18,1,2,3,2,2,2,17,1,1,9,1,14,153,1,2,126,1,1,18,21,2,18,1,7,1,9,2,1,7,9,21,3,2,1,1,63,34,2,2,1,2,1,17,2,3,1,2,3,2,2,2,3,2,306,2,2,6,7,1,14,1,1,9,1,14,9,2,21,1,1,1,2,1,14,2,1,18,21,6,1,9,1,6,42,1,34,6,1,3,6,3,2,2,6,9,1,34,2,3,2,14,102,2,1,1,3,2,2,1,3,1,2,1,18,2,14,2,18,2,2,14,18
820,3,1,7,2,1,2,1,2,1,6,17,6,14,2,7,14,2,1,2,1,1,2,18,1,7,14,3,1,18,42,2,63,1,2,1,3,1,2,18,17,9,2,2,1,1,14,3,1,6,9,1,1,6,14,1,7,3,18,2,14,6,1,9,6,1,3,2,2,1,2,2,14,9,2,6,153,18,2,9,6,1,2,3,2,9,3,42,1,14,9,14,2,6,7,1,3,7,9,1,21,2,1,42,7,1,1,14,14,2,6,2,1,6,14,1,3,238,2,51,6,1,21,2,2,2,42,1,2,2,6,6,6,1,2,2,6,7,1,1,2,1,238,2,17,126,2,1,18,1,1,1,6,119,3,7,1,3,2,2,1,14,2,6,2,1,6,7,6,2,2,2,17,2,1,1,2,3,6,3,14,6,2,3,3,238,1,9,14,6,9,126,1,1,9,102,2,1,7,18,1,1,9,1,14,34,42,1,1,2,6,2,1,2,3,7,1,1,21,1,1,1,3
825,2,102,18,9,2,3,18,1,714,1,18,1,1,3,18,51,9,34,1,18,14,1,1,2,6,9,2,14,1,1,1,2,6,1,6,2,2,1,1,18,14,17,9,2,126,9,2,14,1,2,42,6,1,1,2,306,2,1,17,3,1,2,2,1,2,2,7,1,2,1,63,17,2,3,7,2,1,21,14,1,2,3,2,1,2,14,1,6,1,2,3,1,1,6,2,2,2,2,14,2,21,6,1,2,18,14,1,3,21,1,9,6,7,1,2,2,1,9,2,1,14,2,9,1,7,1,2,3,1,1,1,1,2,21,3,1,2,6,14,63,2,3,1,2,1,3,6,1,14,2,6,1,2,2,6,2,2,3,9,34,3,1,1,1,2,1,6,1,1,1,3,2,3,2,102,3,2,1,2,1,1,9,2,2,1,42,2,1,1,14,17,2,126,2,7,21,2,6,1,2,6,2,18,9,1,1,42,2,1,7,1,2,9,34,2,2,14,2,2,6,2,2
828,1,63,3,6,1,6,3,2,3,2,3,2,2,6,3,18,6,1,14,3,1,2,2,1,3,6,7,17,238,2,2,1,63,2,3,17,1,14,2,21,1,2,6,7,3,6,7,1,2,1,3,9,2,2,1,3,1,2,2,18,14,7,1,2,1,17,2,2,1,14,6,2,1,42,2,7,2,6,1,14,7,126,119,14,1,1,2,9,2,1,18,34,2,3,7,1,1,1,1,1,18,21,34,1,51,1,2,18,102,14,6,9,2,2,7,1,2,6,1,2,1,1,6,2,2,2,7,42,2,14,2,2,1,18,102,2,1,9,1,6,1,18,2,1,2,6,9,2,1,7,63,14,1,1,3,1,7,6,6,1,6,14,2,2,1,2,3,2,2,14,6,7,18,1,3,18,1,2,7,2,2,42,1,1,2,9,7,34,2,1,2,7,3,1,2,18,1,9,2,1,3,7,21,6,14,2,51,1,2,2,14,1,6,1,1,1,1,1,1,21,1,119
848,1,1,119,2,3,2,1,18,1,2,1,2,714,2,7,14,34,3,6,1,3,6,2,51,7,14,1,9,2,14,18,7,1,6,1,1,3,6,2,1,1,18,2,9,1,14,17,9,2,1,1,1,34,42,9,7,1,2,6,14,2,9,1,2,9,1,6,18,9,18,2,42,1,2,2,1,2,34,1,2,153,2,1,6,1,1,14,1,42,1,14,18,2,7,9,1,21,1,9,7,2,1,14,21,1,3,42,14,2,2,2,1,2,42,3,1,42,2,1,2,9,7,2,6,6,14,3,2,18,2,2,34,3,2,2,2,21,1,3,2,9,14,18,3,238,2,17,2,9,3,1,2,63,1,119,3,1,2,2,9,14,18,2,6,3,2,7,2,18,6,2,3,2,9,1,2,1,2,1,126,34,2,1,1,42,1,1,42,2,1,14,9,1,1,2,2,3,7,2,3,1,1,1,14,6,14,1,3,6,2,6,3,2,1,21,3,9,7,3,1,9,1
889,126,2,2,1,2,7,14,1,2,21,2,3,1,1,34,1,7,2,1,2,2,1,21,14,2,1,18,2,3,9,17,102,2,7,14,18,238,1,3,2,6,7,1,2,34,1,18,2,9,42,2,2,3,1,34,2,18,357,1,1,3,2,6,3,2,6,1,1,14,1,1,1,6,1,9,6,3,1,102,3,2,17,18,1,42,18,153,2,1,6,1,1,3,2,34,6,2,6,2,6,1,2,9,2,2,2,1,1,1,51,1,14,3,1,2,42,1,1,6,63,2,102,1,7,1,3,2,1,7,3,63,9,2,1,1,357,2,2,2,1,2,1,1,2,3,1,2,3,2,2,2,9,2,6,2,2,18,7,1,14,1,1,3,1,14,51,34,63,17,1,1,2,17,14,2,1,6,63,18,1,3,1,18,126,1,2,6,1,9,6,3,2,2,6,3,1,2,2,3,2,14,6,2,1,1,9,2,2,1,9,1,2,1,6,2,14,2,6,2,2,14,6
941,2,2,2,7,126,1,2,3,2,1,2,1,3,1,2,1,1,6,9,2,6,51,1,6,2,1,2,6,1,1,3,2,2,9,2,2,6,3,1,2,2,3,1,6,2,1,2,6,1,2,2,2,1,3,6,2,2,1,9,1,1,6,14,7,42,2,9,3,6,3,1,3,2,1,1,2,1,1,2,1,6,1,2,9,2,2,1,2,3,2,1,21,1,2,6,2,6,14,102,2,1,2,1,18,2,6,51,1,1,1,1,2,17,3,18,2,9,1,2,1,6,2,1,3,9,1,18,1,3,1,1,1,6,1,1,1,306,2,6,1,6,1,357,6,1,7,2,1,6,6,2,1,6,238,2,126,2,1,1,6,1,3,1,9,6,1,2,1,3,9,1,6,7,6,14,1,14,1,2,3,7,1,14,2,3,34,2,9,7,2,1,6,2,14,1,1,306,2,7,42,2,34,2,1,9,1,2,42,3,1,3,126,1,2,6,18,6,2,6,2,6,2
944,1,17,1,2,3,2,1,6,119,2,1,2,18,2,1,34,2,153,6,1,63,18,2,9,1,2,1,21,2,2,6,1,1,6,1,1,9,18,2,1,7,102,2,3,7,2,1,21,2,1,7,1,2,18,3,17,1,2,102,2,2,3,1,2,3,1,42,6,3,6,14,306,1,2,14,1,2,14,7,2,3,2,1,6,1,7,2,1,18,1,2,6,2,1,3,1,9,1,21,1,14,1,2,3,1,63,18,2,14,2,2,1,14,18,3,1,6,2,1,2,21,1,2,18,42,2,3,2,6,2,2,2,9,14,2,2,3,1,63,14,3,2,6,9,2,2,1,2,21,9,1,2,3,1,1,3,1,2,2,51,2,6,2,6,9,2,1,2,6,6,2,9,2,3,17,2,1,2,1,6,2,2,1,1,18,7,1,6,2,7,34,3,7,1,14,14,3,1,2,9,1,1,1,2,6,2,7,9,18,14,18,3,2,17,9,3,21,1,9,1,3,1
947,2,14,2,1,6,1,2,9,2,1,2,1,3,1,2,1,1,6,21,2,6,3,1,6,2,1,14,306,119,1,9,2,14,3,2,34,6,21,1,14,2,9,1,126,2,1,14,18,1,2,2,2,1,3,18,2,2,1,3,1,7,126,2,1,18,34,3,9,18,63,1,3,2,7,1,14,1,1,2,7,126,7,238,21,2,2,1,2,3,2,1,153,1,2,126,2,6,2,18,2,1,14,17,6,34,6,3,1,17,7,1,2,1,3,42,2,3,1,2,1,18,2,1,3,3,1,42,7,9,7,1,1,6,1,17,1,6,2,6,1,18,1,9,6,1,1,2,1,18,42,14,7,18,2,2,6,14,1,1,18,1,63,1,3,6,1,2,1,9,21,1,42,1,18,2,1,2,1,14,9,1,7,2,2,3,2,14,51,1,2,1,126,2,2,1,1,6,2,1,6,2,14,14,1,21,1,34,6,3,1,21,6,1,2,6,6,18,2,6,14,18,238
