2142,7,9,15,24,59,84,105,110,111,112,123,130,134,138,141,162,168,179,212,249,251,278,280,287,309,330,331,335,352,358,362,379,387,392,399,403,413,422,424,429,433,434,438,443,447,456,457,461,466,469,489,495,508,512,515,519,529,532,536,540,562,569,577,598,605,607,608,614,623,632,636,638,649,660,664,667,676,678,685,688,695,702,709,716,721,727,736,747,764,775,792,794,796,813,821,823,827,829,839,841,846,849,862,869,879,881,890,918,930,940,942,945,958,1016,1031,1057,1058,1068,1075,1078,1091,1093,1104,1106,1112,1156,1157,1164,1190,1192,1204,1222,1223,1224,1236,1246,1247,1251,1259,1266,1271,1296,1298,1313,1324,1326,1341,1342,1343,1367,1395,1402,1415,1417,1443,1445,1465,1470,1482,1505,1506,1514,1516,1544,1547,1552,1569,1582,1586,1598,1614,1619,1620,1631,1641,1656,1669,1708,1717,1730,1732,1752,1753,1771,1772,1791,1801,1814,1816,1819,1828,1829,1833,1837,1840,1854,1859,1863,1900,1907,1911,1927,1941,1968,1976,1996,2001,2033,2042,2050,2060,2075,2076,2083,2087,2093,2099,2101,2105,2109,2135,2137
953,2,2,14,1,6,1,2,3,2,1,2,1,63,1,14,7,1,18,3,2,18,9,1,18,14,7,2,6,1,119,3,14,2,51,2,2,18,9,1,2,2,3,1,102,2,7,2,6,1,2,2,2,1,63,6,14,2,1,3,7,17,6,2,1,6,2,3,3,6,3,1,63,2,1,17,2,1,1,2,1,6,1,2,3,2,2,7,2,63,2,7,3,1,14,6,2,126,2,6,14,1,2,7,42,2,18,63,7,1,1,1,2,1,63,6,2,21,1,2,1,6,14,1,153,3,7,102,1,3,1,1,1,18,1,1,1,42,2,306,1,6,7,3,18,7,1,2,1,6,18,34,1,42,2,14,6,2,1,1,6,7,51,1,3,18,1,14,17,3,3,1,18,1,6,2,1,2,1,2,21,1,17,2,2,63,2,2,21,1,2,7,6,2,34,1,17,6,14,1,18,2,2,2,7,3,7,2,18,9,1,9,102,1,2,126,6,6,14,18,34,6,2
966,7,3,3,6,1,126,21,2,9,14,3,2,2,18,3,6,42,1,2,3,1,2,14,7,9,6,1,1,2,2,2,1,3,14,63,1,7,34,2,3,1,14,6,1,3,102,1,1,2,7,9,3,2,2,1,3,1,14,2,6,2,1,1,2,1,1,2,2,7,2,6,2,1,306,2,1,2,18,1,2,1,6,1,2,7,1,2,3,2,1,6,2,34,153,1,1,1,1,1,1,6,9,2,1,3,17,2,6,18,2,6,21,2,2,1,7,2,102,1,14,1,1,6,14,2,2,1,18,14,2,238,2,1,6,18,14,1,3,1,6,1,6,2,1,2,18,3,2,1,1,3,2,1,1,9,1,1,126,6,7,18,2,2,34,7,2,9,14,2,2,18,1,6,7,9,6,1,14,1,2,2,6,1,7,2,3,1,2,34,1,2,1,51,1,2,6,1,3,2,1,63,1,3,6,2,2,9,1,2,2,2,1,6,1,1,7,1,1,17,9,7,1
1019,2,2,2,1,6,17,2,9,2,1,14,7,3,1,2,1,1,42,3,14,6,3,1,6,2,1,2,18,1,1,9,2,2,3,2,14,6,3,119,2,2,9,7,18,2,1,2,18,7,2,2,2,7,3,126,2,14,1,21,1,1,18,34,1,18,2,3,9,18,9,1,3,2,1,1,2,7,1,2,1,18,1,2,3,2,2,1,34,51,2,1,9,1,2,18,14,6,2,18,2,1,34,1,6,14,6,3,1,1,1,7,2,1,3,6,2,3,7,14,1,18,2,17,3,3,1,6,1,9,1,1,7,102,1,7,1,6,2,6,1,126,1,9,42,1,1,14,17,18,6,2,1,18,2,2,6,2,1,1,18,1,9,7,21,6,1,2,1,63,3,119,6,1,306,2,7,2,1,2,9,1,1,2,2,3,2,34,3,1,2,1,18,2,2,1,1,42,2,1,6,2,2,2,1,3,1,2,6,3,1,3,6,7,14,6,6,18,2,6,2,18,2
1020,1,3,3,6,1,18,3,14,9,2,3,2,2,126,3,6,6,1,2,3,1,14,2,1,9,6,1,1,2,2,14,1,3,2,9,1,1,2,2,3,1,2,6,1,3,6,1,1,2,1,9,21,2,2,1,3,1,2,2,6,2,1,1,2,1,7,2,14,1,2,6,2,7,18,2,1,2,18,1,2,1,6,1,2,1,1,2,21,2,7,6,2,14,9,1,1,1,1,1,1,6,9,2,1,3,1,2,102,18,2,6,3,2,2,1,1,2,6,1,2,1,1,42,2,2,34,1,18,34,2,2,2,7,102,18,2,1,21,1,6,1,6,2,1,2,306,3,14,17,1,3,2,1,1,9,17,1,18,42,1,18,2,2,2,17,14,9,2,2,34,18,1,6,1,9,6,1,2,17,2,2,6,1,1,2,3,1,2,2,17,2,1,3,1,2,6,1,3,2,1,9,1,3,6,2,2,9,1,14,2,2,1,6,1,1,1,1,1,7,9,1,1
1023,2,6,126,9,2,3,306,1,6,1,18,1,7,3,126,21,9,2,1,18,2,1,1,2,714,63,2,2,1,7,1,14,6,1,6,2,2,1,1,18,2,1,9,2,18,63,2,2,1,2,6,6,1,7,2,126,2,1,1,21,1,2,2,17,2,2,1,1,2,17,9,7,34,3,1,2,1,3,2,1,2,3,2,1,2,2,7,6,7,2,21,1,1,42,2,2,14,2,2,14,3,6,7,14,18,2,7,21,3,1,9,6,1,7,2,34,7,9,2,1,34,14,9,1,1,7,2,3,1,1,1,1,2,3,3,1,14,6,2,9,2,21,1,2,7,3,6,1,2,2,6,1,14,2,42,2,34,3,153,2,21,1,17,1,2,1,42,1,1,1,3,2,3,2,6,3,34,1,2,7,1,9,2,34,7,6,2,7,1,2,7,2,18,2,1,3,2,42,1,34,6,2,306,63,1,7,6,2,1,1,17,2,9,2,14,2,2,14,2,6,2,2
1029,14,102,6,3,2,63,42,1,306,7,6,1,1,9,6,51,21,34,1,6,2,1,7,14,18,3,2,2,1,1,1,2,6,7,126,2,14,1,1,6,2,119,3,2,6,3,2,2,1,14,18,6,1,1,2,102,2,7,17,3,1,2,2,1,2,2,1,1,14,1,3,17,2,9,1,2,1,9,2,1,2,3,2,1,14,2,1,6,1,2,3,1,1,18,2,2,2,2,2,2,3,18,1,2,6,2,1,3,9,1,3,42,1,1,2,14,1,3,2,7,2,2,3,7,1,1,2,9,7,1,7,1,2,3,9,7,2,6,2,3,2,3,1,2,1,9,6,1,2,2,6,1,2,2,18,2,2,63,3,238,9,1,1,1,14,1,18,7,1,1,9,2,3,14,306,3,2,7,2,1,1,3,2,14,1,6,2,1,1,2,17,2,6,2,1,3,2,6,1,2,126,2,6,3,1,1,18,2,1,1,1,2,3,34,2,14,2,2,2,18,14,2
1035,2,18,102,3,2,3,6,1,42,1,6,1,17,3,6,9,51,2,1,6,14,1,1,34,6,3,2,14,1,1,1,2,18,1,6,2,2,1,1,6,14,1,3,2,42,3,34,14,1,2,42,18,17,1,2,6,2,1,1,9,1,2,2,1,2,2,7,1,2,1,21,1,2,3,7,2,1,357,14,1,34,9,2,1,2,14,1,18,1,2,9,1,1,6,2,2,2,2,14,2,63,6,1,2,6,14,1,9,21,1,3,18,7,1,2,2,1,3,2,1,14,2,3,1,7,1,2,3,1,1,1,17,2,63,3,1,2,18,14,21,2,9,1,2,17,3,306,1,14,2,18,1,2,2,102,2,2,3,3,2,3,1,1,1,2,1,6,1,1,1,3,2,9,2,6,9,2,1,2,1,17,3,2,2,1,126,2,1,1,14,1,2,42,2,7,63,2,18,1,2,6,2,6,3,1,1,42,2,1,7,1,2,3,2,2,2,14,2,2,6,2,2
1062,1,9,3,6,17,6,3,238,3,2,3,2,2,42,3,18,6,1,34,3,1,14,34,1,3,6,17,1,2,2,14,1,9,2,51,1,1,2,2,3,17,2,6,1,3,6,1,1,2,1,3,63,2,2,1,3,1,2,2,18,2,17,1,2,1,7,2,14,1,2,6,2,7,6,2,1,2,6,1,34,1,18,1,2,1,1,2,63,2,7,18,2,14,3,1,1,1,1,1,17,18,3,2,1,3,1,2,18,6,2,6,9,2,2,1,1,2,6,1,2,1,1,42,2,2,2,1,102,2,2,2,2,7,18,6,2,1,63,1,102,1,18,2,1,2,6,9,14,1,1,9,34,1,1,3,1,1,102,42,1,6,2,2,2,1,14,3,2,2,2,6,1,18,1,3,18,1,34,1,2,2,6,1,1,2,9,1,2,2,1,2,1,3,1,2,18,1,9,2,1,3,1,3,6,2,2,3,1,14,2,2,1,6,1,1,1,17,1,7,3,1,1
1067,2,2,2,7,126,1,2,3,2,1,2,1,3,1,2,1,1,6,9,2,102,3,1,6,2,1,2,6,1,1,3,2,34,9,2,2,6,3,1,2,2,3,17,6,2,1,2,6,1,2,34,2,1,3,6,2,2,1,9,17,1,6,14,7,42,2,153,3,6,3,1,3,2,1,1,2,17,1,2,1,6,1,2,9,2,34,1,2,3,2,1,21,1,2,6,2,6,238,6,2,17,2,1,18,2,6,3,1,1,1,1,2,1,51,18,2,9,1,2,1,6,2,1,3,9,1,18,1,3,1,1,1,6,1,1,1,18,2,6,1,102,1,21,6,1,7,2,1,6,6,2,1,6,14,2,126,2,1,1,6,1,3,1,9,6,1,2,1,3,9,1,6,7,6,14,1,14,1,2,51,7,1,14,2,3,2,2,9,7,2,1,6,2,14,1,1,18,2,119,42,2,2,2,17,9,1,2,42,3,1,3,126,1,2,102,18,6,2,6,2,6,2
1082,1,1,1,2,3,2,1,18,1,2,7,238,6,2,1,2,2,21,6,119,3,6,2,3,1,2,1,9,2,2,18,1,1,6,1,7,3,6,14,1,1,18,14,9,1,2,1,9,14,1,1,1,14,6,63,1,7,2,42,2,2,9,1,2,9,1,6,18,153,18,2,6,1,2,2,1,14,2,1,2,9,2,1,6,1,1,2,1,6,1,2,18,2,1,9,7,51,1,9,1,2,1,2,3,7,3,6,2,2,2,14,1,2,6,51,1,6,14,7,2,9,1,2,6,6,2,3,2,18,2,2,14,3,2,14,2,3,1,3,2,63,2,18,21,2,2,7,2,9,3,1,2,9,1,1,3,1,2,2,9,2,18,14,42,3,2,1,2,126,6,14,3,2,9,1,14,1,2,1,18,2,2,1,1,6,1,1,6,2,1,2,9,1,1,2,2,21,1,2,3,1,1,1,2,6,2,1,3,6,2,6,3,14,7,3,3,9,1,3,1,9,1
1097,2,34,2,1,6,1,2,21,34,1,2,1,9,7,2,17,1,306,3,2,18,63,1,18,2,1,2,6,1,1,21,2,2,3,2,2,18,9,1,2,2,51,1,6,2,1,2,6,1,2,2,14,1,9,6,34,2,1,51,1,1,6,2,1,6,14,3,21,6,3,1,153,14,1,1,2,1,1,2,1,6,1,2,3,2,2,1,14,9,14,1,3,7,2,6,2,18,2,6,2,1,2,1,6,2,18,9,1,1,1,1,2,1,9,6,2,3,1,2,1,6,2,7,9,3,1,6,1,3,1,1,1,126,1,1,1,6,14,18,1,6,1,3,18,1,1,2,7,6,18,2,1,6,2,2,6,2,1,7,102,1,3,1,3,18,7,2,1,3,3,1,18,1,6,34,1,2,1,2,3,1,1,2,2,9,2,2,3,1,2,17,6,2,2,1,1,6,2,1,18,2,2,2,1,3,1,2,18,63,1,9,6,1,34,18,6,6,2,126,2,6,2
1101,2,42,6,3,2,9,6,1,18,1,6,1,1,9,6,3,3,2,7,6,34,1,1,2,18,3,14,2,7,1,1,2,714,1,18,2,2,7,1,42,2,1,51,14,6,3,14,2,1,2,306,6,1,1,2,6,2,1,1,51,7,14,2,1,2,2,17,1,2,7,3,1,2,63,1,14,17,9,2,7,14,21,14,7,2,34,1,6,1,2,3,1,1,18,14,2,2,34,2,2,51,126,1,2,6,2,1,3,9,7,3,6,1,17,14,2,1,3,2,1,2,2,3,1,1,1,14,63,1,7,1,1,2,3,9,1,2,6,2,3,34,3,1,2,1,9,6,1,2,14,42,7,2,2,18,2,14,9,3,2,9,7,1,1,2,1,18,1,1,7,9,14,3,2,18,3,2,1,14,17,1,21,2,2,1,6,14,1,1,2,1,14,6,2,1,3,2,6,17,2,18,14,42,51,7,1,18,2,1,1,7,2,3,2,34,2,2,2,2,126,2,14
1140,1,3,9,18,1,6,9,2,21,2,9,2,2,6,9,6,18,1,2,9,7,2,2,1,3,18,1,7,2,34,2,1,3,34,3,1,1,2,2,9,7,2,18,17,63,18,1,7,2,1,21,3,2,2,1,9,1,2,2,6,34,1,1,2,1,1,14,2,1,2,126,2,1,6,238,1,2,42,7,2,1,6,1,2,1,7,2,3,2,1,6,2,2,3,1,1,1,1,7,1,42,3,2,1,9,7,2,6,42,2,18,3,14,2,1,1,2,18,1,2,7,1,18,34,14,2,17,6,2,2,2,2,1,42,6,2,1,3,119,126,1,6,2,1,2,6,3,2,7,1,51,2,1,1,3,1,1,6,18,1,6,34,2,2,1,2,3,34,2,2,6,1,6,1,3,6,1,2,1,2,2,306,1,1,2,21,1,2,2,7,2,1,63,17,14,714,1,3,2,1,3,1,9,18,2,2,21,1,2,14,2,17,18,1,1,1,7,1,1,51,1,1
1191,2,6,42,3,2,9,6,1,18,1,6,1,7,9,42,21,3,2,1,6,2,1,1,2,126,21,2,2,1,119,1,14,6,17,18,2,2,1,1,6,2,1,3,34,6,21,2,2,1,2,18,6,1,7,2,42,2,1,1,21,17,2,2,1,2,2,1,1,2,1,3,7,2,9,17,2,1,9,2,1,2,3,2,1,2,2,7,6,7,2,21,1,1,126,2,2,14,2,2,14,3,18,7,14,6,2,7,21,9,1,3,6,1,7,2,2,7,3,2,1,2,14,3,17,1,7,34,9,1,1,1,1,2,3,9,1,14,6,34,3,2,21,1,2,7,9,6,1,2,2,102,1,14,2,126,2,2,9,3,2,63,17,1,1,2,1,126,17,1,1,9,2,3,2,18,3,2,1,2,7,1,51,2,2,7,6,2,7,1,2,7,2,6,34,1,51,2,42,1,2,18,2,6,21,1,7,18,2,1,1,1,34,3,2,14,2,2,14,2,306,2,2
1203,2,6,18,9,2,3,18,1,42,1,18,1,1,3,18,3,9,2,1,18,238,1,1,2,6,9,2,14,1,1,1,2,102,1,6,2,2,1,1,18,14,1,153,2,126,9,2,14,1,2,714,6,1,1,2,18,2,1,1,51,1,2,2,1,2,2,119,1,2,1,63,1,2,3,7,2,17,21,14,1,2,3,2,1,2,238,1,6,1,2,3,1,1,6,2,2,2,34,14,2,357,6,1,2,18,14,1,3,21,1,9,6,7,17,2,2,1,9,2,1,14,2,9,1,7,1,2,3,1,1,1,1,2,21,3,1,2,6,14,63,34,3,1,2,1,3,6,1,14,2,6,1,2,2,6,2,2,3,9,2,3,1,1,1,2,1,6,1,1,1,3,2,3,2,6,3,2,1,2,17,1,9,2,2,1,42,2,1,1,14,1,2,126,2,7,21,2,6,17,2,6,2,18,153,1,1,42,2,1,7,1,2,9,2,34,2,14,2,2,6,2,2
1221,2,6,18,63,14,3,18,1,6,1,18,1,1,3,18,3,9,2,1,18,2,1,1,2,6,9,2,2,1,1,1,2,6,1,6,2,2,17,1,18,2,1,9,2,18,153,2,2,1,2,6,6,1,1,2,18,2,1,1,3,1,2,14,7,14,2,1,1,2,1,9,1,2,51,1,2,1,3,2,1,2,3,2,1,2,2,1,6,1,2,3,7,17,102,2,2,2,14,2,2,3,6,1,2,18,34,1,3,3,1,9,6,1,1,2,2,1,153,2,1,2,2,9,1,1,1,2,3,1,1,17,1,2,3,3,1,2,6,2,9,2,3,7,2,1,21,6,1,2,2,6,1,2,14,6,14,2,3,9,2,3,1,1,17,2,1,6,1,1,1,3,2,21,2,42,3,14,1,2,1,7,9,14,2,1,6,2,1,119,2,1,2,306,14,1,3,2,6,7,14,6,2,18,9,1,1,6,14,1,1,1,14,9,2,2,2,2,2,34,6,2,2
1227,2,42,6,3,2,9,102,1,18,1,6,1,1,9,6,3,3,2,7,6,2,1,1,2,306,3,14,2,7,1,1,2,42,1,18,2,2,7,1,42,2,1,3,14,6,3,14,2,1,2,18,6,1,1,2,6,2,1,1,3,7,14,2,17,2,2,1,1,2,119,3,1,34,63,1,14,1,9,2,7,14,21,14,7,2,2,1,6,1,2,3,1,1,18,14,2,2,2,2,2,3,126,1,2,6,2,1,3,9,7,3,6,1,1,14,34,1,3,2,1,34,2,3,1,1,1,14,63,1,7,1,1,2,3,9,1,2,6,2,3,2,3,1,2,1,9,6,1,2,14,42,7,2,2,18,2,238,9,51,2,9,7,17,1,2,1,18,1,1,7,9,14,3,2,18,3,34,1,14,1,1,21,2,34,1,6,14,1,1,2,1,14,6,2,1,3,2,6,1,34,18,14,714,3,7,1,18,2,1,1,119,2,3,2,2,2,2,2,2,126,2,14
1243,6,2,2,1,2,1,2,1,2,3,14,21,1,17,2,1,1,14,1,14,2,1,9,2,2,1,6,2,9,3,1,18,2,1,2,42,2,1,63,2,18,1,7,2,2,1,6,34,21,18,2,34,21,17,14,2,714,9,7,1,3,2,18,3,2,6,1,17,2,1,1,1,18,1,3,18,63,1,18,3,2,1,6,17,18,6,3,2,1,18,1,1,3,2,2,42,2,18,2,6,1,2,3,34,14,2,1,1,1,3,7,2,3,1,2,6,1,7,42,3,2,6,1,1,1,3,2,1,1,51,3,21,2,1,7,3,2,2,2,1,14,1,1,14,9,1,14,9,2,2,2,3,2,6,2,2,6,1,1,2,1,1,21,7,2,3,2,3,7,1,7,2,1,2,2,7,6,3,6,1,3,1,102,6,1,2,18,1,3,18,9,2,2,18,3,1,14,2,9,2,2,18,2,1,1,3,2,2,17,3,1,2,119,42,2,34,2,6,2,2,2,6
1275,2,6,126,9,2,3,18,1,6,1,18,1,7,3,126,21,9,2,1,18,2,1,1,2,42,63,2,2,1,7,1,14,6,1,6,2,2,1,1,18,2,1,9,2,18,63,2,2,1,2,6,6,1,7,2,126,2,1,1,21,1,2,2,1,2,2,1,1,2,1,9,7,2,3,1,2,1,3,2,1,2,3,2,1,2,2,7,6,7,2,21,1,1,42,2,2,14,2,2,14,3,6,7,14,18,2,7,357,3,1,9,6,1,7,2,2,7,9,2,1,2,14,9,1,1,119,2,3,17,1,1,1,2,51,3,1,14,6,2,9,2,21,1,2,7,51,6,1,34,2,6,1,14,2,42,34,2,3,9,2,21,1,1,1,34,1,42,1,1,17,3,2,3,2,6,3,2,1,34,7,1,9,2,2,7,6,2,7,1,34,7,2,18,2,1,3,2,42,1,2,6,2,18,63,1,7,6,2,1,1,1,2,9,2,14,2,2,14,2,6,2,2
1276,9,7,1,2,1,2,1,2,1,6,1,6,2,2,1,2,2,1,14,1,1,2,6,1,1,2,63,1,42,306,2,3,7,34,1,9,1,14,6,7,3,2,2,119,1,2,63,1,18,3,1,1,6,2,1,1,9,6,2,2,714,7,3,6,1,3,2,2,1,14,2,2,3,14,306,21,6,2,3,42,7,14,63,14,3,9,18,1,2,3,2,2,6,1,7,3,1,3,1,3,2,7,18,1,1,1,2,2,2,42,2,1,6,2,7,3,2,2,3,18,1,3,2,34,2,6,119,14,2,42,18,18,1,2,2,6,1,1,17,2,1,2,2,1,6,2,1,6,1,7,119,126,1,3,1,1,63,2,2,1,2,238,6,2,1,6,1,306,2,14,2,7,2,1,1,2,3,18,63,2,6,238,9,9,2,1,21,2,18,3,6,7,1,51,6,34,1,1,6,1,1,21,7,2,14,18,1,1,2,18,14,17,2,3,1,1,1,3,1,119,1,21
1280,1,1,1,2,3,2,1,18,7,2,1,2,6,2,17,2,2,3,6,1,21,6,2,3,1,2,1,63,2,2,306,17,1,6,1,1,51,6,2,1,7,18,2,9,119,2,1,63,2,1,7,1,2,6,153,1,1,34,6,2,2,9,1,2,9,1,42,18,9,18,14,6,1,2,14,1,2,14,119,2,9,34,1,6,1,7,34,1,6,1,2,18,2,1,153,1,3,1,63,1,14,1,2,3,1,21,6,2,14,34,2,1,14,6,3,1,6,2,1,2,63,17,2,6,42,2,3,2,18,2,2,2,3,14,2,34,3,1,21,14,9,2,18,3,2,2,1,2,63,3,1,2,9,1,1,3,1,2,2,9,2,18,2,6,3,34,17,2,306,6,2,3,34,9,1,2,1,2,1,18,2,2,1,1,6,7,1,6,2,7,2,9,7,1,14,14,3,1,2,3,1,1,1,2,6,2,7,3,6,14,6,3,2,1,3,3,63,1,3,1,9,1
1282,51,1,7,34,1,2,1,2,1,18,1,18,14,2,7,14,2,1,2,1,1,2,6,1,7,238,3,1,6,42,2,21,1,2,1,3,1,2,6,1,3,2,2,1,1,14,3,1,102,3,1,1,18,14,1,7,3,6,2,14,18,1,3,18,1,9,2,2,1,2,34,14,3,2,6,3,6,2,3,18,1,2,3,2,51,3,42,1,14,3,14,2,18,7,1,153,7,3,1,63,2,1,42,7,1,1,14,14,2,18,34,1,18,14,1,9,14,2,9,102,1,63,2,2,34,126,1,2,2,18,6,6,1,2,2,18,7,1,1,2,1,14,2,1,42,2,1,6,1,17,1,6,7,9,7,1,3,2,2,1,14,2,18,2,1,18,7,6,2,2,2,1,2,1,1,34,9,6,3,14,18,2,3,3,14,1,3,14,6,3,42,1,1,3,18,2,1,7,6,1,17,3,1,14,2,714,1,1,2,6,2,1,2,9,7,1,1,63,1,1,1,9
1302,7,3,9,18,1,42,63,2,3,238,9,2,2,6,9,6,126,1,2,9,1,2,14,7,3,18,1,1,2,2,2,1,3,14,21,1,7,2,2,9,1,14,18,1,9,18,1,1,2,119,3,3,2,2,1,9,1,14,2,6,2,1,1,2,17,1,2,2,7,2,18,2,1,6,2,1,2,6,1,2,1,6,1,2,7,1,2,3,2,17,102,2,2,3,1,1,1,1,1,1,6,3,2,1,9,1,2,6,6,2,18,357,2,2,1,7,2,18,1,14,1,1,18,14,2,2,1,6,14,2,14,2,1,6,6,14,1,51,1,18,1,6,2,1,2,6,3,2,1,1,3,2,1,1,3,1,1,42,18,7,102,2,2,2,7,2,3,14,2,2,6,1,6,7,3,6,1,14,1,2,2,18,1,7,2,3,1,2,2,1,2,17,9,1,2,6,1,51,2,1,21,1,9,18,2,2,3,17,2,34,2,1,18,1,1,7,1,17,1,3,119,1
1323,14,18,6,3,2,21,42,1,6,7,6,1,1,3,6,9,21,2,1,6,2,1,7,14,6,3,2,2,1,1,1,2,18,7,42,2,14,17,1,6,2,7,3,2,6,51,2,2,1,14,6,18,1,1,2,6,2,7,1,9,1,2,2,1,2,2,1,1,14,1,3,1,2,51,1,2,1,3,2,1,2,9,2,1,14,2,1,18,1,2,9,1,17,102,2,2,2,2,2,2,9,6,1,2,6,34,1,9,3,1,3,126,1,1,2,14,1,51,2,7,2,2,3,7,1,1,2,3,7,1,119,1,2,9,3,7,2,18,2,3,2,9,1,2,1,3,18,1,2,2,18,1,2,2,6,2,2,21,3,14,3,1,1,17,14,1,6,7,1,1,3,2,9,14,6,9,2,7,2,1,1,3,2,14,1,18,2,1,17,2,1,2,102,2,1,9,2,18,1,2,42,2,6,3,1,1,6,2,1,1,1,2,3,2,2,14,2,2,34,6,14,2
1333,102,2,2,119,14,1,2,1,2,3,2,3,1,1,2,1,1,2,1,2,2,1,9,2,2,17,6,2,9,3,1,18,2,1,2,6,2,1,9,2,18,1,1,2,2,1,6,2,51,18,2,2,3,1,2,2,6,9,1,1,3,2,126,21,14,6,1,1,2,1,17,1,18,1,3,18,9,1,18,3,2,1,6,1,306,6,3,2,1,18,1,7,3,2,2,102,2,126,2,6,1,2,3,2,2,2,1,1,1,3,17,2,3,1,2,6,1,1,6,51,2,6,1,1,17,3,2,1,1,3,3,3,2,1,1,3,2,2,2,1,2,1,7,2,9,7,2,9,2,34,2,3,2,42,2,14,6,1,1,2,1,1,3,1,2,3,2,3,1,1,1,2,7,2,14,17,42,3,6,1,21,1,42,6,1,2,18,1,21,18,9,2,2,126,3,1,2,2,63,14,34,18,2,1,1,51,2,14,1,3,1,14,1,6,2,2,2,6,2,2,2,6
1349,2,2,2,1,6,1,2,21,2,1,2,1,9,7,2,1,1,18,3,2,18,1071,1,18,2,1,2,6,1,1,21,2,2,3,2,2,18,9,1,2,2,3,1,6,2,1,2,6,1,2,2,14,1,9,6,2,2,1,3,1,1,6,2,1,6,14,3,21,6,3,1,9,14,1,1,2,1,1,2,1,6,1,2,3,2,2,1,14,9,14,1,3,7,2,6,2,18,2,102,2,1,2,1,6,2,18,153,1,1,1,1,2,17,9,6,2,3,1,2,1,6,2,7,9,3,1,6,1,3,1,1,1,126,1,1,1,102,14,18,1,6,1,51,18,1,1,2,7,6,18,2,1,6,34,2,6,2,1,7,6,1,3,1,3,18,7,2,1,3,3,1,18,1,6,2,1,2,1,2,3,1,1,2,2,9,34,2,3,1,2,1,6,2,2,1,1,102,2,1,18,2,34,2,1,3,1,2,18,63,1,9,6,1,2,18,6,6,2,126,2,6,2
1366,9,1,7,2,1,2,1,2,1,6,1,6,14,2,7,14,2,1,2,1,1,34,6,1,7,14,9,1,6,126,2,21,1,2,1,9,1,2,6,1,3,2,2,1,1,14,9,1,18,3,1,1,6,14,1,7,9,6,2,14,6,1,3,6,1,3,2,2,1,2,2,14,3,2,18,3,6,2,3,6,1,2,9,2,3,9,126,1,14,3,14,2,6,7,1,3,7,3,17,21,2,1,126,7,1,1,238,14,2,6,2,1,102,14,1,3,14,2,3,18,1,21,2,2,2,42,1,2,2,6,18,18,1,2,2,6,119,1,1,2,1,14,34,1,42,2,1,6,1,1,1,18,7,51,7,1,9,2,2,1,14,2,6,2,1,6,7,18,2,2,2,1,2,1,1,2,3,18,9,14,6,2,9,9,14,17,3,14,18,3,42,1,1,3,6,2,17,7,6,1,1,51,1,14,2,126,1,1,2,18,2,1,2,3,7,1,1,21,1,1,1,3
1401,34,6,126,153,2,3,18,1,6,1,18,1,7,3,126,21,9,2,1,18,2,1,1,2,42,1071,2,2,1,7,1,14,6,1,6,2,2,1,1,18,2,1,9,2,18,63,2,2,17,2,6,6,1,7,2,126,2,1,1,21,1,2,2,1,2,2,1,1,2,1,153,7,2,3,1,2,1,3,2,1,2,3,2,1,34,2,7,6,7,2,21,1,1,42,2,34,14,2,2,14,3,6,7,14,18,2,7,21,3,1,153,6,1,7,2,2,7,9,2,17,2,14,9,1,17,7,2,3,1,1,1,1,2,3,3,1,14,6,2,9,2,21,1,2,7,3,6,1,2,34,6,1,14,2,42,2,2,3,9,2,21,1,1,1,2,1,42,1,1,1,3,2,3,2,6,51,2,1,2,7,1,9,2,2,7,6,2,7,1,2,7,2,18,2,1,3,2,42,1,2,102,2,18,63,1,119,6,2,1,1,1,2,9,2,14,2,2,14,2,6,2,2
1447,18,2,2,1,2,1,2,7,2,3,2,3,1,119,2,1,1,2,1,2,2,7,3,2,2,1,18,2,3,9,7,6,2,1,2,18,2,1,3,2,6,1,1,2,2,1,18,34,9,6,2,238,3,17,2,2,306,3,1,1,3,2,6,3,2,42,1,119,2,1,1,1,42,1,9,6,3,1,6,3,2,1,18,17,6,18,9,14,1,42,1,1,21,2,2,6,2,6,2,6,1,2,9,34,2,2,1,1,1,3,1,2,3,1,2,6,1,1,6,9,2,6,7,1,1,3,2,1,1,51,9,9,14,1,1,3,2,14,2,1,2,1,1,2,3,1,2,21,2,2,2,9,2,6,2,2,18,1,7,2,1,1,3,1,2,21,2,9,1,1,1,2,1,2,2,1,6,9,18,1,3,1,306,18,1,2,6,1,9,6,3,2,2,6,3,1,2,2,3,2,2,6,2,1,1,9,2,2,119,9,1,2,17,6,2,34,2,6,14,2,2,6
